=== Time stamp ===
[0.56s -> 3.52s] 不太敢想太遠的事情
[3.52s -> 7.52s] 因為我連明天會不會發病我都不知道
[7.52s -> 10.08s] 我先生他遇到這種狀況
[10.08s -> 11.76s] 我覺得我不怪他
[11.76s -> 14.08s] 他帶著孩子離開我
[14.08s -> 15.52s] 我覺得是好事
[16.88s -> 19.28s] 我理想的病房是
[19.28s -> 25.28s] 從地表生長出來的一棵茁壯的植物
[25.28s -> 29.52s] 這一片沃土是可以被大家看到的
[30.00s -> 34.48s] 每個人都有屬於自己的光芒
[34.48s -> 37.12s] 吳尊賢基金會
[37.12s -> 39.92s] 邀您看見彼此的獨特
[60.00s -> 62.00s] 這段文章是
[62.00s -> 64.00s] 江口楊介
[64.00s -> 66.00s] 宋瓊峰
[66.00s -> 68.00s] 瀨戶康時
[68.00s -> 70.00s] 6月15周日中午12點半
[70.00s -> 72.00s] 信用詐欺師JP英雄篇
[90.00s -> 99.44s] 小明星大跟班下次再見
[120.00s -> 134.36s] 看新聞 開視野
[134.36s -> 135.82s] 歡迎收看今天
[135.82s -> 139.06s] 6月12號的公視手語新聞
[139.06s -> 140.98s] 首先來關心
[140.98s -> 142.68s] 昨天晚間7點
[142.68s -> 145.60s] 全台都收到了國家級警報
[145.60s -> 148.12s] 花蓮東部海域
[148.12s -> 152.58s] 發生規模6.4的有感地震
[152.58s -> 155.36s] 而今天凌晨0點01分
[155.36s -> 157.84s] 臺東近海也發生了規模
[157.84s -> 161.82s] 5的地震 接向署提醒
[161.82s -> 164.70s] 未來三天內還是要注意規模
[164.70s -> 171.48s] 5到5.5之間的預診
[171.48s -> 172.94s] 愜意的休息時間
[172.94s -> 175.20s] 花蓮濁西山里部落的雜貨店
[175.20s -> 178.10s] 突然感覺到一陣劇烈搖晃
[178.10s -> 183.60s] 所有人倉皇投出
[183.60s -> 184.68s] 雖然沒有受傷
[184.68s -> 188.36s] 但已經嚇出一身冷汗
[188.36s -> 189.70s] 週三晚間7點
[189.70s -> 192.74s] 花蓮東部海域發生規模6.4地震
[192.74s -> 195.20s] 最大震度臺東縣達到5弱
[195.20s -> 198.06s] 由於氣象署出估規模超過6.5
