=== Time stamp ===
[0.00s -> 17.82s] 看新聞開視野,歡迎收看今天9月12號的公視手語新聞。
[18.26s -> 27.10s] 首先來關心高雄新達火力發電廠,9號晚間發生爆炸,引發猛烈火勢。
[27.10s -> 31.26s] 雖然沒有造成傷亡,但也燒出民怨。
[31.94s -> 51.72s] 昨天就有許多居民到廠區外抗議,抨擊台電安全承諾跳票,同時也造成燃氣1號、2號機都停機檢修,引發供電疑慮,備轉容量率一度只剩3%。
[52.40s -> 56.86s] 經濟部長龔明鑫強調,絕對不會出現。
[57.10s -> 58.90s] 本區限電的情況。
[61.52s -> 78.46s] 新達電廠火警燃氣新1號、新2號機停機,備轉容量率一度跌至3%,週三台電啟用緊急備用的大零5號機與新達4號機將電力拉回,最後達到夜間備轉容量率6%,外界關注,後續是否對發電造成壓力。
[78.46s -> 86.62s] 新達的1號機組初步看起來是沒有受到影響,2號機組的話,這個部分就要跟設備的供應商共同來做一些檢視。
[87.10s -> 89.50s] 所以不會有所謂的分區限電的問題。
[89.56s -> 104.04s] 業界擔憂,雖然目前新達燃氣新1號、2號機都還沒有正式商用,2號機還處於試運轉階段,不過因為1號機從6月份開始就已經接受調度,業界分析目前停機對整體發電量就會有影響。
[104.16s -> 108.88s] 另外兩部機組原本預計在明年就投入商轉,如今更是挑戰。
[108.88s -> 116.88s] 那明年的備轉容量率也只有5.2%,已經確定不能商轉的增加。
[117.10s -> 125.50s] 如果再加上這個新達的2號機也不能運轉,備轉容量率在明年剩下0.4%。
[125.56s -> 133.14s] 針對機組恢復的時程,台電表示,檢查以及完成事故調查及復原準備後,將提報待高雄市政府同意。
[133.52s -> 143.74s] 不過這起事件,外界也關注,機組的安全及風險,像是中國4月的海峽雷霆為台軍演,就將高雄永岸天然氣接收站模擬為攻擊目標。
[143.74s -> 147.08s] 確實要深刻檢討這整個過程中。
[147.10s -> 154.66s] 台電的公安管理的問題,過去這幾年就是透過增加天然氣,機組有大幅減少的空氣污染。
[154.88s -> 159.12s] 政府需要加強整個天然氣的運轉的安全性。
[159.14s -> 164.96s] 打開台電網站,11日各機組發電量中,燃氣就占超過35%的較高比例。
