=== Time stamp ===
[0.00s -> 10.96s] 看新聞,開視野。
[11.34s -> 15.34s] 歡迎收看今天6月20號的公視手語新聞。
[16.06s -> 19.08s] 首先來關心,以色列和伊朗,
[19.62s -> 21.82s] 7天以來輪番發動空襲,
[22.74s -> 25.10s] 以色列襲擊了伊朗的核設施,
[26.00s -> 27.46s] 而伊朗還以顏色,
[27.46s -> 31.22s] 發射飛彈擊中了以色列的醫院。
[32.22s -> 35.46s] 美國已經向中東地區集結兵力,
[36.00s -> 37.96s] 是否會直接介入攻擊伊朗,
[38.28s -> 39.66s] 兩週內將會決定。
[41.80s -> 45.48s] 伊朗跟以色列互相轟炸嚴厲交鋒已一星期,
[45.64s -> 48.48s] 期間美國以核議題對伊朗軟硬兼施,
[48.72s -> 52.02s] 對以色列軍火轉移及防禦部署跟情報分享,
[52.26s -> 56.16s] 國際社會高度關切美國是否將直接介入攻擊伊朗。
[57.46s -> 59.84s] 伊朗的總統說,
[60.26s -> 67.16s] 從此,是因為有可能與伊朗接觸的會議會有多大機會。
[67.80s -> 71.76s] 我將決定,兩週內,是否會進行。
[72.14s -> 73.54s] 伊朗需要所有的資金,
[73.54s -> 75.48s] 要達到核武武器。
[75.82s -> 78.62s] 他們需要的全是黨領領會的決定。
[78.72s -> 80.34s] 這幾週內,
[80.34s -> 82.52s] 伊朗將會完成核武武器的製造,
[82.52s -> 86.22s] 這當然會成為伊朗及美國、
[86.22s -> 86.96s] 以及美國的生存威脅。
[86.96s -> 87.06s] 這當然會成為伊朗及美國的生存威脅。
[87.06s -> 87.36s] 這當然會成為伊朗及美國、
[87.36s -> 92.42s] 伊朗19号朝以色列发射数百枚飞弹及无人机
[92.42s -> 96.02s] 目标包括南部一座主要医院索罗卡医学中心
[96.02s -> 97.90s] 与特拉维夫附近的住宅区
[97.90s -> 99.80s] 造成240人受伤
[99.80s -> 101.26s] 以色列强势反击
[101.26s -> 104.16s] 大规模空袭包括阿拉克的重水反应炉
[104.16s -> 106.20s] 及其他核子与军事设施
[106.20s -> 109.62s] 国际原子能总署证实核子反应炉未运作
[109.62s -> 111.64s] 且无放射性泄露风险
[111.64s -> 114.88s] 以色列总理纳坦雅胡视察受损医院院区时
[114.88s -> 117.10s] 强调跟美国一直联系密切
[117.10s -> 118.26s] 并赞扬川普
[144.90s -> 146.96s] 伊朗副外交部长哈蒂伯扎德
[146.96s -> 147.08s] 讲
[147.08s -> 149.34s] 接受英国广播公司BBC的访问时
[149.36s -> 151.28s] 否认正在发展核武
[151.28s -> 152.74s] 对于川普一再声称
