=== Time stamp ===
[0.00s -> 29.98s] 字幕由 Amara.org 社群提供
[30.00s -> 59.98s] 字幕由 Amara.org 社群提供
[60.00s -> 89.98s] 字幕由 Amara.org 社群提供
[90.00s -> 99.36s] 往前的馬太安溪橋瞬間被泥流沖斷,整座橋不敵水勢,吞沒在溪流中,在場的監控人員也立刻上車,催油門逃離。
[102.36s -> 112.34s] 馬太安溪水位突然暴漲,因為上游晏色湖在23號下午2點多陸續發生兩波溢流,統計共有6000萬噸蓄水傾瀉而出。
[120.02s -> 132.76s] 洪水直衝光復鄉市區,太巴朗河北副村等聚落一一都被淹沒,一名婦人反應不及只能夠緊抱柱子,索性最後平安獲救,驚顯畫面宛如災難電影。
[132.76s -> 144.44s] 馬太安溪橋瞬間被泥流沖斷,整座橋不敵水沖斷,統計共有6000萬噸蓄水傾瀉而出。
[144.44s -> 149.56s] 民眾看傻了眼,不敢相信黑色泥流直接衝破家門,成了汪洋一片。
[150.00s -> 162.10s] 有兒子抱著行動不便的父親到屋頂避難,也有人帶布的輪椅被沖走,下半身全是泥泞。
[162.10s -> 172.52s] 花蓮縣長徐真衛,緊急坐鎮指揮中心,表示大同水門和大安水門開啟,成功把洪水引導回光復稀。
[172.98s -> 178.08s] 東部一帶昨天晚間水勢已退,但是當地淹水又停電,交通不便。
[178.08s -> 183.20s] 臺九縣馬太安溪橋無法通行,臺11縣花蓮大橋也封閉。
[208.08s -> 219.18s] 直到週三清晨,當地降雨人持續,各單位嚴加戒備監測,災民也盼望家園能夠儘速回歸日常。
[219.82s -> 221.18s] 公視新聞綜合報導。
[223.02s -> 229.14s] 花蓮的硬色湖溢流非常嚴重,幾乎把整個市區給淹沒。
[230.54s -> 237.56s] 而現在光復市區的水已經退了,前進指揮中心正漏液的清淤。
[238.08s -> 246.20s] 不少縣市也都派出救災人員,以及救生艇等器材前往支援。
[248.20s -> 253.62s] 馬太安溪橋被洪水沖毀,多處道路因水勢與沖刷受損或被迫封閉。
[253.86s -> 258.18s] 許多車輛因道路嚴重積水過不去,包含警車在內也受困。
[258.18s -> 266.28s] 過不去,車子過去就會凋下,因為它那個泥沙太厚了,我剛要去找水的時候,我自己都快被凋住了。
[266.58s -> 267.36s] 試試看而已。
[268.08s -> 269.52s] 因為我看那邊還有水。
[269.76s -> 270.10s] 我知道。
[270.50s -> 273.68s] 對,所以我不建議。
[273.98s -> 278.10s] 光復鄉仁愛路14號因水深極西且多泥泞,無法進入。
[278.30s -> 282.30s] 中正路與敦厚路口派出所旁泥泞約有20到30公分。
[282.56s -> 286.44s] 目前光復市區水已退,前進指揮中心正漏液清淤。
[286.44s -> 290.08s] 宜蘭方面派出消防弟兄及裝備等前往協助。
[290.36s -> 296.82s] 出發前,宜蘭代理縣長林茂盛為支援的消防弟兄精神講話,並提醒注意自身安全。
[298.08s -> 306.68s] 那就是說因為現在我們已經緊急了,燒救生艇還有我們食物不衛團會馬上趕過去。
[306.90s -> 314.26s] 屏東縣政府23號傍晚5點半接獲消防署及花蓮縣政府請求支援,立即啟動跨縣市救援機制。
[314.26s -> 321.62s] 出動8車23人,並有4艘動力救生艇,3艘手滑式橡皮艇及相關救災器材協助。
[321.86s -> 326.82s] 花蓮縣消防局表示,目前已有新北、宜蘭、臺東及屏東等縣市支援,
[327.10s -> 328.06s] 暫無需其他縣市支援。
[328.08s -> 339.22s] 此外,臺北市也派員前往,高雄市主動表達支援意願,特搜大隊則完成人員、器材及車輛整備,若有進一步需求將立即投入協助。
[339.40s -> 350.98s] 總統賴清德23號晚間表示,已請行政院長卓榮泰指示中央災害應變中心統合各部會,全力協助花蓮縣府採取緊急應變措施,並投入救援受困民眾。
[351.18s -> 354.88s] 公視新聞,溫家凱、林靖倫、黃韻玲、鍾建剛綜合報導。
[356.86s -> 358.00s] 強台畫家
[358.08s -> 362.06s] 沙已經遠離,不過現在又有一個颱風
[362.06s -> 380.24s] 柏羅伊生成。氣象署預測朝著海南島的方向前進,對臺灣沒有直接的影響。而氣象署提醒,今天花蓮、臺東的民眾還是要嚴防超大豪雨。
[382.54s -> 387.10s] 儘管畫家沙颱風已經遠離,昨天外圍環流帶來風雨,
[387.10s -> 395.96s] 對臺灣造成不小災情。花蓮、馬太安溪、煙色湖一流,衝斷馬太安溪橋,重創下游的光復鄉等地。
[395.96s -> 407.42s] 緊鄰的臺東,包含泰馬里溪多處,也是有溪水暴漲。市區的南王以及豐榮里則是出現淹水。在恆春半島以及小琉球,感受上是風比雨大。
[407.42s -> 416.18s] 氣象署資料顯示,23號上午9點,小琉球浪高最高6.8公尺。
[416.18s -> 427.64s] 恆春半島也有類似情況,當地還發出警報,強風也一度造成屏東縣將近2000戶停電,多位於山區鄉鎮,尤其獅子鄉停電戶數最多。
[427.64s -> 427.66s] 氣象署資料顯示,23號上午9點,小琉球浪高最高6.8公尺,恆春半島也有類似情況,當地還發出警報,強風也一度造成屏東縣將近2000戶停電,多位於山區鄉鎮,尤其獅子鄉停電戶數最多。
[427.66s -> 434.82s] 氣象署資料顯示,23號上午9點,小琉球浪高最高6.8公尺,多位於山區鄉停電戶數最多。
[434.82s -> 442.10s] 只是當地道路泥濘難行,得由公班帶機具徒步進路,先排除倒塌枝幹才能搶修。
[442.10s -> 442.16s] 氣象署資料顯示,23號上午9點,小琉球浪高最高6.8公尺,多位於山區鄉停電戶數最多。
[442.16s -> 442.22s] 氣象署資料顯示,23號上午9點,小琉球浪高最高6.8公尺,多位於山區鄉停電戶數最多。
[442.22s -> 449.18s] 氣象署資料顯示,23號上午9點,小琉球浪高最高6.8公尺,多位於山區鄉停電戶數最多。
[449.18s -> 465.28s] 不只東部,北部基隆的雨勢同樣一陣一陣,就在威海營區的舊址內,怪獸持續在泥水中作業,因為23號上午,一旁的中正路才剛淹水,最深處超過50公分,範圍超過100公尺。
[465.48s -> 471.84s] 而昨天生成的熱帶性低氣壓,在凌晨2點,發展成為第20號颱風博羅伊。
[472.22s -> 486.94s] 波伊颱風,它在剛剛清晨2點的時候,在菲律賓東方海面生成,它在通過菲律賓的時候,距離台灣還算是有一段蠻長的一個距離,所以對台灣的影響並不是那麼明顯。
[487.50s -> 495.06s] 通過菲律賓中部之後,它會進到南海,進到南海過後,大概也還是會朝向海南道這個方向前進。
[495.18s -> 500.60s] 氣象署表示,博羅伊有機會發展成為中台,對台灣沒有直接影響。
[500.86s -> 502.20s] 而目前西太平洋,
[502.22s -> 508.92s] 已經有強台化加沙和中台浣熊,再加上博羅伊,再度形成三台共舞的局面。
[509.28s -> 510.76s] 公視新聞綜合報導。
[532.22s -> 538.26s] 台南衛生局現職業者一個月內要完成全面下架回收。
[541.26s -> 543.64s] 再來看到自由時報報導。
[544.76s -> 547.92s] 醫學中心急診擁色的問題嚴重。
[549.16s -> 552.30s] 衛福部提出假日急症中心解方。
[553.24s -> 555.20s] 在大型醫院附近,
[555.76s -> 561.44s] 收治發燒、外傷縫合等輕度症狀的患者分流病患。
[562.22s -> 571.26s] 衛福部昨天表示,最快十一月上路,其中臺北市跟桃園市已經選定據點。
[571.26s -> 591.80s] 聯合報提到了,晶片巨頭輝達前天宣布,將要投資人工智慧大廠OpenAI高達一千億美元,約台幣三兆元,打造下一代AI數據中心。
[592.22s -> 592.72s] 聯合報提到了,晶片巨頭輝達前天宣布,將要投資人工智慧大廠OpenAI高達一千億美元,約台幣三兆元,打造下一代AI數據中心。
[594.46s -> 597.94s] 而看完報紙的重點,繼續再來關心。
[598.48s -> 603.46s] 普發現金一萬元,最快預計十月發放。
[603.90s -> 606.64s] 要不要有不領取的選項?
[606.72s -> 609.72s] 行政院昨天表示,考量到令件系統將會延宕發放的時程,因此決議不增設不領取的選項。
[609.72s -> 612.72s] 行政院昨天表示,考量到令件系統將會延宕發放的時程,因此決議不增設不領取的選項。
[612.72s -> 613.22s] 行政院昨天表示,考量到令件系統將會延宕發放的時程,因此決議不增設不領取的選項。
[613.22s -> 613.72s] 行政院昨天表示,考量到令件系統將會延宕發放的時程,因此決議不增設不領取的選項。
[613.72s -> 614.22s] 行政院昨天表示,考量到令件系統將會延宕發放的時程,因此決議不增設不領取的選項。
[614.22s -> 614.72s] 行政院昨天表示,考量到令件系統將會延宕發放的時程,因此決議不增設不領取的選項。
[614.72s -> 618.16s] 不增設 不領取的選項
[618.18s -> 620.48s] 不過民眾要特別留意
[620.48s -> 622.50s] 現在錢還沒發放
[622.52s -> 624.54s] 已經有詐騙集團
