=== Time stamp ===
[0.00s -> 13.86s] 看新聞開視野
[13.86s -> 18.22s] 歡迎收看今天9月17號的公視手語新聞
[18.22s -> 21.44s] 首先來關心去年5月
[21.44s -> 25.88s] 新北三重發生一名24歲的張姓男子
[25.88s -> 30.24s] 先後殺害岳母、妻子和妻子之後
[30.24s -> 32.28s] 逃到台中被捕
[32.28s -> 37.24s] 新北地方法院國民法官法庭審理後
[37.24s -> 40.28s] 依殺人等罪判處死刑
[40.28s -> 45.62s] 而這是首起由國民法官判決死刑的案件
[45.62s -> 47.74s] 全案仍可以上訴
[55.88s -> 60.16s] 家屬聲淚俱下氣憤難平
[60.16s -> 62.12s] 時間發生在去年5月
[62.12s -> 65.30s] 新北市三重一名24歲男子張宏毅
[65.30s -> 68.76s] 先後殺害岳母、妻子以及3歲妻子
[68.76s -> 71.98s] 更竊取岳母存摺、信用卡和財物
[71.98s -> 74.22s] 用來升級交友網站會員
[74.22s -> 77.38s] 購買賭博網站儲值金逃亡台中
[85.88s -> 95.80s] 一直到死者家屬多日聯絡不上
[95.80s -> 97.30s] 報警上門查看
[97.30s -> 99.94s] 才發現三名家人沉溼床上
[99.94s -> 103.18s] 新北地院國民法官庭及何義廷審理後
[103.18s -> 105.84s] 認為張姓男子殺人後又逃亡
[105.84s -> 107.86s] 故意對兒童犯殺人罪
[107.86s -> 109.74s] 動機令人不齒
[109.74s -> 110.60s] 依殺人罪
[110.60s -> 113.18s] 成年人故意對兒童犯殺人罪
[113.18s -> 114.24s] 處以死刑
[114.24s -> 115.76s] 褫奪公權終身
[115.76s -> 115.86s] 依殺人罪
[115.88s -> 117.30s] 全案仍可上訴
[117.30s -> 131.54s] 法官指出
[131.54s -> 134.04s] 張姓男子在精神鑑定過程中
[134.04s -> 136.34s] 更說出還是會殺死岳母
[136.34s -> 137.94s] 顯見毫無回憶
[137.94s -> 140.72s] 顯示極有可能再犯暴力罪行
[140.72s -> 142.76s] 而全案目前仍可上訴
[142.76s -> 145.86s] 後續發展人代司法程序繼續進行
[145.88s -> 148.16s] 公視新聞綜合報導
[148.16s -> 152.08s] 讀報時間來看到
[152.08s -> 154.64s] 中國時報是
[154.64s -> 158.96s] 流感季節9月今年提早報到了
[158.96s -> 160.58s] 疾管署表示
[160.58s -> 165.22s] 國內類流感就診人次已經超過10萬人
[165.22s -> 167.92s] 本周正式進入流行期
[167.92s -> 170.30s] 10月1號起
[170.30s -> 172.24s] 公費流感疫苗開打
[172.24s -> 174.50s] 呼籲民眾儘速接種
[174.50s -> 175.50s] 中國時報是
[175.50s -> 175.66s] 流感季節9月今年提早報道了
[175.66s -> 175.76s] 疾管署表示國內類流感救診人次已經超過10萬人
[175.76s -> 177.56s] 公視新聞綜合報導
[177.56s -> 179.68s] 自由時報是報導
[179.68s -> 181.38s] 教育部昨天舉辦
[181.38s -> 184.88s] 卓越特殊教育人員頒獎典禮
[184.88s -> 187.38s] 共有57人獲獎
[187.38s -> 188.14s] 而其中
[188.14s -> 191.80s] 新北市景興國小廳長特教老師
[191.80s -> 193.06s] 楊柏儒
[193.06s -> 195.16s] 用自己的生命故事
[195.16s -> 201.06s] 來指引學生獲得殊榮
[201.06s -> 203.66s] 聯合報是提到了
[203.66s -> 205.54s] 無照駕駛致死的人數
[205.54s -> 208.36s] 高於酒駕致死
[208.36s -> 213.22s] 交通部昨天公布修法細節
[213.22s -> 218.08s] 無照駕駛累犯罰款將沒有上限
[218.08s -> 222.44s] 最終可以罰吊銷駕照不得再考
[222.44s -> 226.78s] 而同時車主也要臉帶修罰
[226.78s -> 232.16s] 看完報紙重點之後
[232.16s -> 235.32s] 繼續要再來關心的是
[235.32s -> 239.92s] 勞動部昨天公布
[239.92s -> 243.00s] 國內最新減班休息數據
[243.00s -> 246.08s] 共有333家
[246.08s -> 249.14s] 影響人數突破7000人
[249.14s -> 252.98s] 而其中242家業者表示
[252.98s -> 255.28s] 是受到美國關稅的影響
[255.28s -> 258.88s] 其中又以金屬積電工業
[258.88s -> 260.16s] 衝擊最大
[260.16s -> 263.22s] 而相對於傳統產業的低迷
[263.22s -> 265.28s] 科技業是一枝獨秀
[265.32s -> 269.92s] 昨天帶領台北股市上漲272點
[269.92s -> 273.76s] 再創新高
[273.76s -> 275.82s] 全資股台積電16號除息
[275.82s -> 277.36s] 不過才一開盤立馬填息
[277.36s -> 280.68s] 中場收債1280元漲30元
[280.68s -> 283.24s] 帶動台股大盤跟著強勢走高
[283.24s -> 286.56s] 收債25629點漲272點
[286.56s -> 288.10s] 續創歷史新高
[288.10s -> 290.40s] 相較科技電子股表現亮眼
[290.40s -> 292.20s] 國內傳產和中小企業
[292.20s -> 295.02s] 卻面臨美國關稅和匯損雙重加急
[295.32s -> 296.86s] 國內有限的資源
[296.86s -> 297.88s] 可能其實是
[297.88s -> 299.16s] 很難以支撐
[299.16s -> 300.70s] 產業均衡的發展
[300.70s -> 302.74s] 如果有一些產業可以
[302.74s -> 305.56s] 這種擴張型的投資去接近市場的話
[305.56s -> 308.88s] 其實在國內的這個留下來的資源
[308.88s -> 310.42s] 其實比較能夠去
[310.42s -> 311.20s] 支持
[311.20s -> 313.24s] 產業做比較平衡的發展
[313.24s -> 317.60s] 像是在新北就有家製作掛索等相關金屬製品的工業公司
[317.60s -> 319.38s] 已經深耕台灣40多年
[319.38s -> 321.68s] 但卻碰上台幣強勢升值
[321.68s -> 325.28s] 以及美國對等關稅迟遲還沒談定最終稅率影響
[325.32s -> 328.14s] 等不到客戶下單電話也看不到訂單
[342.72s -> 346.32s] 勞動部16號公佈國內最新實施減班休息的數據
[346.32s -> 349.12s] 這期有333家實施減班休息
[349.12s -> 350.92s] 較上期多88家
[350.92s -> 355.02s] 其中有242家業者指出是受到美國關稅影響
[355.32s -> 358.14s] 至於減班休息有7334人
[358.14s -> 360.96s] 比起上期增加2471人
[360.96s -> 363.76s] 其中有大多數人也是受到關稅影響
[379.64s -> 383.22s] 國內業者表示希望政府盡快談定美國對等關稅稅率
[383.22s -> 385.02s] 才能讓客戶不再觀望
[385.32s -> 389.42s] 導動部表示不排除減班休息人數持續增加
[389.42s -> 391.46s] 會加強宣導支持措施
[391.46s -> 393.52s] 公視新聞由燕子郭巨林新北市報導
[395.30s -> 397.36s] 立法院日前通過
[397.36s -> 401.44s] 全民普發一萬元特別預算案
[401.44s -> 405.54s] 預計最快10月下旬開始發放
[405.54s -> 408.36s] 不過法師世昭會認為
[408.36s -> 411.94s] 這項政策是舉債大撒幣
[411.94s -> 413.22s] 號召巨領
[413.22s -> 415.28s] 並且要求行政院增設
[415.32s -> 418.40s] 國家續名專款的選項
[418.40s -> 421.72s] 讓錢可以轉入
[421.72s -> 424.54s] 不過行政院僅回應尊重
[424.54s -> 427.10s] 會審慎言議
[427.10s -> 430.16s] 有不少民進黨立委表示支持
[430.16s -> 432.22s] 但國民黨立委林思明
[432.22s -> 433.24s] 則認為
[433.24s -> 435.04s] 普發是民意
[435.04s -> 437.08s] 要發起人續招會
[437.08s -> 440.16s] 少碰政治
[440.16s -> 444.00s] 國庫不是低款機
[444.00s -> 445.28s] 因應美國對等關稅
[445.28s -> 448.36s] 公計行政院編列5500億任性特別預算
[448.36s -> 450.40s] 其中各界關注的普發一萬
[450.40s -> 452.70s] 預計最快10月下旬開始領取
[452.70s -> 454.76s] 不過玄奘大學教授世昭會認為
[454.76s -> 457.32s] 這是舉債大撒幣甚至沒有牌付
[457.32s -> 459.36s] 喊話行政院應增設選項
[459.36s -> 461.66s] 巨領一萬轉入國家續名專款
[461.66s -> 463.96s] 用於重大災害或外敵侵略
[463.96s -> 465.50s] 同時號召各界響應
[475.28s -> 477.08s] 所以我們所有捐出來的錢
[477.08s -> 477.84s] 他們無法統計
[477.84s -> 480.14s] 只看得到說距離只有那少數而已
[480.14s -> 481.94s] 人民缺的是這一萬嗎
[481.94s -> 483.22s] 我們缺的可多了
[483.22s -> 484.50s] 我們缺的是國防
[484.50s -> 485.52s] 我們缺的是外交
[485.52s -> 487.32s] 我們要的是更好的衛福
[487.32s -> 489.36s] 還有教育等等的政策
[489.36s -> 491.40s] 我個人會響應
[491.40s -> 493.72s] 我不會去領取這一萬元
[493.72s -> 496.52s] 那行政院是不是要設立專戶
[496.52s -> 499.34s] 或者是直接來倡議
[499.34s -> 501.90s] 鼓吹不領取就直接留在國庫
[501.90s -> 503.70s] 我想這個操作方式
[503.70s -> 505.24s] 就留給行政院去評論
[505.28s -> 507.32s] 民進黨立委也力挺
[507.32s -> 508.86s] 而立法院會10月3號
[508.86s -> 510.66s] 將邀請行政院長卓榮泰
[510.66s -> 512.20s] 報告預算案編制經過
[512.20s -> 514.76s] 對於普發一萬增設選項的可能性
[514.76s -> 516.28s] 政院僅表示尊重
[516.28s -> 517.56s] 會審慎言議
[517.56s -> 518.84s] 不過藍維林思銘認為
[518.84s -> 520.12s] 普發是民意
[520.12s -> 521.66s] 質疑發起人世招會
[521.66s -> 523.20s] 不值民間疾苦
[523.20s -> 524.74s] 他認為會掏空國庫
[524.74s -> 526.02s] 我想這個
[526.02s -> 528.06s] 出家人對政治的事務呢
[528.06s -> 529.86s] 有那麼瞭解嗎
[529.86s -> 531.90s] 政府超徵稅收
[531.90s -> 533.70s] 就應該還稅於民
[533.70s -> 535.24s] 出家人還是要
[535.24s -> 537.04s] 六根清淨
[537.04s -> 539.60s] 那個政治的事務少碰
[539.60s -> 541.12s] 外行裝內行的
[541.12s -> 543.68s] 其實盡量不要搬門弄斧
[543.68s -> 546.00s] 請問我又哪裡不解禁
[546.00s -> 547.78s] 我是貪婪了這筆錢嗎
[547.78s -> 551.36s] 我們不都是國家公民要投票嗎
[551.36s -> 553.16s] 什麼時候我們投票的時候
[553.16s -> 554.44s] 會被人家趕出去說
[554.44s -> 555.98s] 你不要去關心政治
[555.98s -> 557.00s] 世兆會表示
[557.00s -> 559.04s] 自己並非呼應綠營的訴求
[559.04s -> 561.10s] 也強調設立專戶就是希望
[561.10s -> 563.40s] 有目標指向讓所有捐的錢
[563.40s -> 564.42s] 都能夠統計
[564.42s -> 565.20s] 國安新聞李俊仙
[565.20s -> 565.96s] 鎮寧台北報導
[625.20s -> 626.48s] 有CPR流程
[626.48s -> 628.52s] 手冊裡也有詳細解說
[628.52s -> 630.84s] 其中與舊版手冊的最大差異
[630.84s -> 633.40s] 教導民眾任何有關國家戰敗
[633.40s -> 634.92s] 政府宣布投降
[634.92s -> 636.20s] 都是假訊息
[636.20s -> 638.00s] 目的以防範認知作戰
[638.00s -> 640.82s] 以及刪除爭議的敵我識別環節
[640.82s -> 643.38s] 看到這個
[643.38s -> 645.16s] 軍隊在那邊
[645.16s -> 646.44s] 我們建議是採
[646.44s -> 648.24s] 這個遠離危險區域
[648.24s -> 649.52s] 考量天災戰時
[649.52s -> 651.32s] 恐面臨斷電通訊中斷
[651.32s -> 653.62s] 中共可能操作錯誤宣傳
[653.62s -> 654.64s] 散佈陰謀論
[655.20s -> 655.96s] 民心
[655.96s -> 658.02s] 手冊提到民眾可透過警廣
[658.02s -> 659.56s] 和聲教育光波
[659.56s -> 660.58s] 也可到派出所
[660.58s -> 661.86s] 村裡辦公室
[661.86s -> 663.40s] 獲取正確資訊
[663.40s -> 665.18s] 至於外界關注的配售站
[665.18s -> 666.72s] 政府已完成盤點
[666.72s -> 669.02s] 也列出五大民生必需品
[669.02s -> 671.32s] 手冊有提到當危機發生時
[671.32s -> 674.14s] 政府會開設配售站提供民生物資
[674.14s -> 675.68s] 而在今年的任性宴席
[675.68s -> 677.48s] 政府其實就有在小巨蛋
[677.48s -> 678.76s] 進行相關的演練
[678.76s -> 682.34s] 根據統計全台目前有5668個配售站
[682.34s -> 685.16s] 而經濟部也規劃未來希望能納入像是超商以及
[685.20s -> 687.50s] 賣場一起加入配售站的行列
[710.54s -> 712.34s] 面對中共不放棄武力犯台
[712.34s -> 713.62s] 手冊也提到
[713.62s -> 715.16s] 家長孕育孩子討論危機
[715.20s -> 716.48s] 與軍事侵略
[716.48s -> 718.02s] 平時準備避難包
[718.02s -> 719.30s] 並且培養小朋友
[719.30s -> 720.58s] 緊急應變能力
[745.20s -> 746.48s] 很危急的話
[746.48s -> 750.58s] 就是可能錢啊比較重要的財務這些我們也是要準備好
[750.58s -> 753.40s] 至於新版手冊紙本印刷只有5000份
[753.40s -> 755.44s] 所有網站可下載離線版
[755.44s -> 758.26s] 但要普及到社會大眾是一大挑戰
[758.26s -> 759.80s] 對此全動數回應
[759.80s -> 762.10s] 除了配合防災日演習發放
[762.10s -> 764.66s] 也透過北中南三間的全聯發放
[764.66s -> 766.96s] 後續會持續蒐證各界意見
[766.96s -> 769.26s] 公視新聞黃梓潔許家瑞台北報導
[771.32s -> 773.10s] 國客會昨天公布
[773.62s -> 775.16s] 台師大女組轉
[775.20s -> 778.78s] 遭不當抽血事件的處置結果
[778.78s -> 779.56s] 包括
[779.56s -> 782.12s] 終止補助計劃
[782.12s -> 785.44s] 追繳台師大246萬
[785.44s -> 790.04s] 中央大學80萬的補助經費
[790.04s -> 793.12s] 降低台師大一年管理費比率
[793.12s -> 794.40s] 2%
[794.40s -> 796.96s] 約900萬元
[796.96s -> 798.24s] 而陳中慶
[798.24s -> 799.52s] 與周台英
[799.52s -> 802.84s] 分別停權5年及4年
[802.84s -> 805.16s] 不得申請及執行各項補助計劃
[805.20s -> 805.72s] 主委
[809.04s -> 813.90s] 國客會調查橫見平台計劃主持人陳中慶與周台英教授任教以來
[813.90s -> 816.46s] 涉及運用血液樣本計劃28件
[816.72s -> 818.76s] 與近10年發表期刊論文
[819.02s -> 821.58s] 審認認定未能實質整合降低風險
[821.84s -> 826.20s] 唯一研究倫理規定執行重複發生督導不周違反研究倫理
[826.44s -> 831.32s] 申請內容不實論文內容不實和知情同意不實違反學術倫理
[831.82s -> 834.64s] 並沒有完成此計劃一式的倫理審查
[834.64s -> 835.16s] 但是
[835.42s -> 837.98s] 在意見的回覆上卻聲稱他已經有
[838.24s -> 838.74s] 申請
[839.00s -> 845.14s] 經審議終止補助橫見平台整合型計劃追繳計劃補助經費台師大
[845.40s -> 847.70s] 246萬餘元中央大學80萬餘元
[847.96s -> 851.80s] 降低台師大一年管理費比率2%約900萬元
