=== Time stamp ===
[0.00s -> 13.04s] 看新聞,開視野。
[13.50s -> 17.38s] 歡迎收看今天7月31號的公視手語新聞。
[18.32s -> 21.98s] 首先來關心,中南部地區大雨不斷。
[23.28s -> 27.34s] 昨天在高雄的桃園區,就有一家五口,
[27.34s -> 32.78s] 疑似因為路面攤方,行車途中不慎滑落邊坡。
[33.70s -> 38.52s] 消防人員漏夜展開搜救,但是到現在還沒有找到人。
[41.52s -> 44.52s] 西南氣流發威,夾帶豐沛水氣下,
[44.86s -> 48.06s] 中南部山區出現局部超大豪雨等級的雨勢。
[48.52s -> 52.16s] 消防局30日晚間獲報,疑似在高雄桃園區的
[52.16s -> 55.56s] 潮水檢查哨附近,有一家五口開車墜谷,
[55.66s -> 57.32s] 但搜救了至少6個小孩。
[57.34s -> 62.18s] 大雨滔空地基,造成路面攤方,
[62.52s -> 65.54s] 消防局出動16車31人前往搶救,
[65.90s -> 68.16s] 只希望能夠盡快帶回好消息。
[68.60s -> 72.86s] 而不只高雄山區,南投同樣受到這一波西南氣流的影響,
[73.12s -> 73.94s] 大雨成災。
[87.34s -> 90.66s] 大雨成災,甚至在另外一端這邊衝出了一個破口。
[91.00s -> 94.10s] 除了水里鄉投131線一度寸步難行,
[94.46s -> 99.14s] 排21線81公里處峻坑路段,大量土石流衝到路面,
[99.54s -> 102.54s] 公路局信義公務段趕緊派遣機具搶搜。
[103.06s -> 107.92s] 信義鄉明德村則爆發土石流,中寮鄉的張平溪溪水暴漲,
[108.38s -> 110.22s] 溪畔寧那宮也被水淹。
[110.22s -> 117.30s] 整個溪水暴漲,導致那個水排不出去都淹進來我們那個廟裡面。
[117.34s -> 120.24s] 溪水一退,廟方人員趕緊清理善後,
[120.58s -> 123.00s] 但擔心的還是接下來的天氣變化。
[123.44s -> 127.00s] 氣象署提醒,雖然白天過後西南風稍微減弱,
[127.34s -> 130.74s] 雨勢趨緩,但中南部山區仍有大雨的可能。
[131.18s -> 135.72s] 白天之後西南風稍微的減弱了,所以整體的雨勢較為的趨緩,
[135.84s -> 142.28s] 但是還是要留意在嘉義南地區中部的山區可能還是會有大雨或是好雨發生,
[142.62s -> 144.58s] 而在大台北還有各地的山區,
