=== Time stamp ===
[0.00s -> 14.08s] 看新聞,開視野。
[14.60s -> 18.48s] 歡迎收看今天9月9號的公視手語新聞。
[19.50s -> 22.52s] 首先來關心前台北市長柯文哲,
[23.04s -> 25.66s] 因為京華城案被羈押一年。
[26.96s -> 28.48s] 昨天點頭交保。
[28.48s -> 33.12s] 他在離開法院的時候接受媒體訪問,
[33.86s -> 37.46s] 再度強調自己的案件是冤獄,
[38.70s -> 43.42s] 痛批賴清德總統,讓國家陷入了四分五裂。
[46.56s -> 48.16s] 而他在交保之後,
[48.62s -> 51.66s] 是趕到了新竹老家和母親團聚。
[52.84s -> 54.22s] 由於他被法院裁定,
[54.22s -> 58.04s] 佩戴電子監控設備以及不得接觸證人,
[58.48s -> 60.48s] 也被限制駐居。
[60.48s -> 62.48s] 在晚上八點到十點前,
[62.48s -> 64.48s] 必須回到台北住家,
[64.48s -> 68.48s] 用手機上傳在住所的照片回報。
[70.48s -> 73.48s] 支持者千呼萬喚,
[73.48s -> 75.48s] 終於盼到前民眾黨主席柯文哲,
[75.48s -> 77.48s] 身邊則有妻子陳佩琪,
[77.48s -> 80.48s] 挽著手臂陪伴,一起部署訪院。
[80.48s -> 84.48s] 檢察官,你們查了一年到底查到什麼?
[84.48s -> 86.48s] 什麼都沒查到。
[88.48s -> 90.48s] 民進黨做夢都沒有想到,
[90.48s -> 92.48s] 台灣民眾黨怎麼會這麼乾淨。
[92.48s -> 94.48s] 就為了這幾個檢察官,
[94.48s -> 98.48s] 把整個台灣社會的司法信任度全部摧毀掉。
[98.48s -> 100.48s] 獲得七千萬交保的他,
[100.48s -> 101.48s] 面對法院裁定,
[101.48s -> 103.48s] 一度表態虛在神思,
[103.48s -> 105.48s] 隔了三天後,八號點頭交報。
[105.48s -> 107.48s] 先感謝小草支持,
[107.48s -> 108.48s] 但話鋒一轉,
[108.48s -> 111.48s] 批評檢察官摧毀司法信任度,
[111.48s -> 113.48s] 再炮轟總統賴清德,
[113.48s -> 115.48s] 讓台灣陷入四分五裂。
[115.48s -> 116.48s] 這個案子,
[116.48s -> 117.48s] 跟,
[118.48s -> 120.48s] 根本是冤獄。
[120.48s -> 122.48s] 我個人的苦難就這樣過去了。
[122.48s -> 124.48s] 但是我希望台灣,
[124.48s -> 126.48s] 以後可以更好一點。
[126.48s -> 128.48s] 不要,不要再,
[128.48s -> 131.48s] 為什麼要讓整個國家陷入四分五裂。
[131.48s -> 132.48s] 賴清德,
[132.48s -> 133.48s] 你好好想一想吧。
[133.48s -> 135.48s] 被羈押進監約一年時間,
[135.48s -> 137.48s] 柯文哲講起看守所生活,
[137.48s -> 139.48s] 自嘲是青菜要飯,
[139.48s -> 141.48s] 二四小時看不見陽光,
