=== Time stamp ===
[0.00s -> 18.68s] 看新聞看視野,歡迎收看今天9月2號的公視手語新聞。
[18.98s -> 28.36s] 首先來關心台積電洩密案,三名涉案工程師被依違反國安法等罪嫌起訴。
[28.36s -> 36.50s] 昨天疑審制裁商業法院,最後何怡婷裁定羈押禁建三個月。
[37.12s -> 44.62s] 檢方也分案偵辦,繼續調查有沒有其他可能涉犯的法人或自然人。
[46.90s -> 56.56s] 涉嫌竊取台積電機密的三名工程師,1號上午穿著汗衫短褲被疑審到制裁商業法院,面對鏡頭低頭不回應。
[58.36s -> 68.64s] 台積電二奈米製程技術外流案,制裁法院一日分案組成何怡婷審理,最後裁定陳立民等三人羈押禁建三個月。
[69.12s -> 77.68s] 原因除了犯罪嫌疑重大,公詞避重就輕,有湮滅串證之餘,也懷疑有其他可能涉案的法人或自然人。
[77.82s -> 84.18s] 本案還有其他可能涉案的法人或自然人,現在已經在分案偵辦中。
[84.94s -> 87.68s] 所以在被告三人,他們曾經…
[88.36s -> 102.54s] 或者現在是同事關係,他們可以透過通訊軟體隨時來進行聯繫,並且在案發以後呢,他們三位都有立刻刪除通訊軟體對話記錄的一個湮滅證據的一個行為。
[102.64s -> 110.36s] 法人指的是誰?張明晃表示,除了在台灣的東京威力外,是否涉及日本本社還在調查中。
[110.74s -> 117.64s] 東京威力科創公司日前也在發聲明指出,對於前員工涉案被起訴,公司深感遺憾。
[118.36s -> 126.98s] 其內部調查沒有發現相關機密資訊外洩到第三方,產業關注未來台日雙方合作關係是否申辯。
[127.32s -> 132.20s] 對台積電最有利的處理方式應該還是以商業協商的方式來解決。
[132.34s -> 135.32s] 我認為雙方的關係不至於有什麼太大的變化。
[135.32s -> 147.90s] 起訴書指出,被告之一陳立明曾經擔任台積電十二廠良綠部門工程師,離職後進到東京威力行銷部門,並在一百一十二年下半年到今年上半年間,
[148.36s -> 155.20s] 多次要求當時在職的台積電工程師吳秉俊、戈一平提供關鍵技術與營業秘密。
[155.60s -> 162.16s] 台積電察覺有意後七月底提告,高檢署短時間密集開庭,一個月火速癥結,
[162.58s -> 168.14s] 依國安法等罪起訴三名工程師,分別酬處七到十四年不等徒刑。
[168.58s -> 169.92s] 公視新聞綜合報導。
[171.92s -> 177.42s] 讀報時間來看到中國時報是教育部原本,
[178.36s -> 187.14s] 本學期九月起,針對高中以下學校,實施學生帶手機進校園管理措施。
[187.60s -> 197.32s] 不過教育部昨天表示,目前還在蒐集整理各方意見,在新方案公告前,各校可依現行規定辦理。
[198.12s -> 206.80s] 自由時報報導,攸關勞工退休後分紅的新制勞退基金,今年前六個月,
[206.98s -> 207.72s] 人處虧損大幅增加。
[208.36s -> 225.82s] 但是,七月大賺九百四十三點八億元,前七月賬面收益已經轉正為兩百八十七點八億元,平均每位勞工賬面分紅兩千兩百二十八元。
[226.60s -> 237.70s] 聯合報提到了,勞動部昨天公佈最新無薪假統計,受到美國關稅政策影響的有一百一十八家。
[238.36s -> 252.40s] 目前,已經三千零五十五人,重災區為機械設備業,學者示警,可能會導致內需消費緊縮,造成惡性循環。
[253.88s -> 268.36s] 看完報紙,重點繼續來關心,長照3.0第一階段新制上路,重點包括放寬、聘雇外籍看護家庭,也能夠適用社會網路。
[268.36s -> 270.10s] 社区照顾模式等等
[270.10s -> 274.84s] 另外 家庭照顾者关怀总会
[274.84s -> 278.62s] 首创带长辈上班的计划
[278.62s -> 283.12s] 希望照顾者得到专业的训练
[283.12s -> 285.74s] 到日照中心工作
[285.74s -> 289.10s] 也能够安心照顾家人
[289.10s -> 293.28s] 家庭照顾者关怀总会
[293.28s -> 294.40s] 去年首度推出
[294.40s -> 297.18s] 由家庭照顾者亲身参与演出的广告
[297.18s -> 299.82s] 真实呈现照顾者宛如压力锅般
[299.82s -> 301.12s] 不断累积的情绪
[301.12s -> 302.98s] 引起不少人的共鸣
[302.98s -> 313.74s] 广告揭开了照顾者的压力现实
[313.74s -> 315.30s] 解放也随之而来
[315.30s -> 317.64s] 总会推动带长辈上班的计划
[317.64s -> 320.12s] 让照顾者在接受专业训练后
[320.12s -> 321.68s] 到日照中心工作
[321.78s -> 323.96s] 既能安心照顾自己的家人
[323.96s -> 326.10s] 也能够照顾其他失能个案
[326.10s -> 327.16s] 重新找回
[327.16s -> 329.10s] 工作价值和生活平衡
[329.10s -> 351.10s] 长照3.0第一阶段新制
[351.10s -> 352.82s] 在9月1日开始上路
[352.82s -> 355.52s] 重点包括放宽聘雇外籍看护
[355.52s -> 357.14s] 可适用社区照顾模式
[357.16s -> 361.18s] 扩大社区市交通接送服务范围和给付额度
[361.18s -> 363.48s] 一般区域接送的给付额度
[363.48s -> 366.24s] 从每趟100元提高到115元
[366.24s -> 369.90s] 原乡离岛每趟120元增加到140元
[369.90s -> 372.56s] 另外调整居家喘息服务内容
[372.56s -> 375.14s] 从只能在家中进行的喘息服务
[375.14s -> 377.34s] 放宽至安全的户外场所
[377.34s -> 380.16s] 营养照护补助则从4次4000元
[380.16s -> 382.24s] 改为3次4500元
[382.24s -> 384.60s] 秉持着以弱势优先
[384.60s -> 386.42s] 这一个大的前提
[386.42s -> 387.14s] 全民的生活和生活
[387.16s -> 389.56s] 全民的健康覆盖的目标
[389.56s -> 393.54s] 那么健康台湾的愿景来努力
[393.54s -> 394.98s] 新制逐步启动
[394.98s -> 396.70s] 政府和民间共同搭建
[396.70s -> 398.20s] 更完整的照顾网络
[398.20s -> 400.84s] 让家庭照顾者不再孤军奋战
[400.84s -> 403.26s] 也期盼朝健康台湾的愿景
[403.26s -> 404.38s] 一步步迈进
[404.38s -> 405.42s] 公视新闻
[405.42s -> 407.76s] 朱凤之中健康朋友组台北报道
[407.76s -> 414.90s] 日本福岛五线食品进口管制在放宽
[414.90s -> 416.86s] 为服务食药署
[417.16s -> 420.68s] 预告草案将全面取消
[420.68s -> 423.46s] 日本福岛食品限制
[423.46s -> 427.52s] 取消双证管理以及猪皮检验
[427.52s -> 429.88s] 改为一般边境管理
[429.88s -> 432.22s] 新制最快年底上路
[432.22s -> 434.24s] 不过消极会批评
[434.24s -> 437.00s] 合格率不代表零减出
[437.00s -> 439.54s] 还是有辐射风险存在
[439.54s -> 443.98s] 反对贸然开放
[443.98s -> 445.58s] 2011年3月11号
[445.58s -> 447.02s] 日本福岛核电厂发生了一场
[447.02s -> 448.38s] 强震与海啸
[448.38s -> 449.88s] 导致辐射外泄
[449.88s -> 452.12s] 事故发生至今已经14年
[452.12s -> 453.96s] 为服务食药署预告草案
[453.96s -> 455.50s] 在确保食安前提下
[455.50s -> 458.18s] 将参考及接轨世界多国管理
[458.18s -> 459.70s] 评估将全面取消
[459.70s -> 461.86s] 日本福岛食品进口管制
[461.86s -> 463.60s] 回归一般边境管理
[463.60s -> 466.16s] 依据我们科学的证据
[466.16s -> 469.50s] 国际标准评估日本食品
[469.50s -> 472.62s] 因应回归我们正常管理措施
[472.62s -> 473.50s] 消息署表示
[473.50s -> 475.24s] 3月1日福岛核灾后
[475.24s -> 476.54s] 同年3月25号
[476.54s -> 477.38s] 我国就宣布
[477.38s -> 479.82s] 禁止福岛等五线食品进口
[479.82s -> 481.14s] 之后又陆续调整
[481.14s -> 482.90s] 日本食品管制措施
[482.90s -> 484.70s] 去年2024年9月
[484.70s -> 486.02s] 公告全面解除
[486.02s -> 488.70s] 日本福岛五线食品输入管制
[488.70s -> 490.34s] 野生鸟兽肉 菇类等
[490.34s -> 491.74s] 原本禁止品项
[491.74s -> 494.14s] 采双证管理及逐批检验
[494.14s -> 495.30s] 但过去14年来
[495.30s -> 497.82s] 在边境检验26.3万多批次
[497.82s -> 499.14s] 检验结果均符合
[499.14s -> 501.10s] 五国标准及日本标准
[501.10s -> 502.34s] 不合格率为0
[502.34s -> 505.22s] 显示日本食品辐射风险很低
[506.54s -> 507.26s] 是微量减除
[507.26s -> 509.38s] 只是符合标准的问题而已
[509.38s -> 510.72s] 但是这样子的一个辐射
[510.72s -> 513.34s] 它是有可能在人体去累积的
[513.34s -> 515.50s] 色衣三期本身它的微量的话
[515.50s -> 518.28s] 它其实半衰期是有达到30年
[518.28s -> 519.20s] 所以我们认为说
[519.20s -> 522.24s] 现阶段还不是一个开放的时机
[522.24s -> 523.22s] 消极会批评
[523.22s -> 525.24s] 政府应优先考量国人健康
[525.24s -> 528.04s] 对于全面取消日本福岛食品限制
[528.04s -> 529.28s] 表达反对立场
[529.28s -> 532.02s] 也呼吁政府应做好食品产地标示
[532.02s -> 533.78s] 让消费者有选择权
[533.78s -> 535.26s] 而食药署则强调
[535.26s -> 536.46s] 草案有60天的
[536.46s -> 536.52s] 预期
[536.54s -> 538.28s] 预告其搜集各界意见
[538.28s -> 540.32s] 心智最快今年底上路
[540.32s -> 542.26s] 但日本禁止流通品项
