=== Time stamp ===
[0.00s -> 14.08s] 看新聞,開視野。
[14.60s -> 18.88s] 歡迎收看今天6月27號的公視手語新聞。
[19.98s -> 23.80s] 首先來關心,為了打造沒有歧視的職場環境,
[24.16s -> 29.62s] 勞動部推行的身心障礙者職場合理調整行政指導。
[30.00s -> 31.54s] 將在7月生效。
[32.54s -> 35.82s] 各地方政府將要建置諮詢輔導窗口,
[36.86s -> 39.64s] 幫助勞僱雙方知道可以怎麼做,
[40.30s -> 42.50s] 政府有什麼資源可以協助,
[43.40s -> 46.26s] 共同打造友善的工作環境。
[48.56s -> 50.38s] 耐心的測試者影印機,
[50.60s -> 52.66s] 這位工作人員是自閉症新兒,
[52.98s -> 55.36s] 可是城市設計的功力卻十分厲害。
[55.42s -> 59.14s] 這家企業因為負責人對新兒的處境感同身受,
[59.14s -> 60.48s] 禁用不少新兒,
[60.48s -> 62.48s] 營造一個友善的工作環境,
[62.48s -> 64.48s] 讓他們的專長得以發揮。
[64.48s -> 68.48s] 有一些人他甚至還有辦法把一整個產品,
[68.48s -> 73.98s] 在生產線一個產品的各部位用他各零件用他身體的部位去計,
[73.98s -> 76.88s] 所以機器在他面前他掃描一下,
[76.88s -> 80.08s] 他就知道說這個機器哪一個零件有問題。
[80.08s -> 82.38s] 為了打造無歧視的職場環境,
[82.38s -> 86.18s] 勞動部推行的身障者職場合理調整行政指導,
[86.18s -> 87.68s] 將在7月生效。
[87.68s -> 88.68s] 像是北市府,
[88.68s -> 91.92s] 就拍攝了一系列友善身障者企業的做法,
[91.92s -> 93.18s] 藉由他們的經驗,
[93.18s -> 95.68s] 引導其他企業合理調整工作。
[95.68s -> 98.18s] 村內有提供一些職業重建的服務,
[98.18s -> 100.68s] 或者是職務再設計這樣子的一些服務,
[100.68s -> 102.68s] 那可以讓有需要的身障朋友,
[102.68s -> 105.68s] 他如果在工作上面有什麼樣的需求,
[105.68s -> 108.68s] 可以透過我們這邊的一些服務資源我們來協助。
[108.68s -> 111.68s] 我們從120萬的這個數字來看的話,
[111.68s -> 113.68s] 這個就業工作,
[113.68s -> 117.18s] 其實就是讓我們很多的障礙者,
[117.18s -> 118.52s] 實質能夠參與,
[118.52s -> 121.76s] 社會其實最重要的方法之一。
[121.76s -> 122.52s] 勞動部強調,
[122.52s -> 125.02s] 許多工作現場對身障者不友善,
[125.02s -> 129.02s] 透過公司協力將合理調整的做法融入職場,
[129.02s -> 132.02s] 在不造成雇主同事的過度負擔下,
[132.02s -> 133.52s] 進行適當調整,
[133.52s -> 137.02s] 讓身障者在實務上可以運作順暢。
[137.02s -> 140.52s] 我們希望能夠盡速趕快修訂我們的身心障礙權益保障法,
[140.52s -> 143.52s] 讓合理調整有明確的規範與效力,
[143.52s -> 146.52s] 然後成為身心障礙者工作權利的後盾。
[146.52s -> 148.36s] 身障團體希望有法令保障,
[148.36s -> 149.60s] 勞動部則強調,
[149.60s -> 151.36s] 雖然目前沒有強制性,
[151.36s -> 153.36s] 可是雇主如果涉及歧視,
[153.36s -> 157.60s] 仍舊可以依據《救福法》規定最重開罰150萬元。
[157.60s -> 162.36s] 郭市新聞陳嘉欣、張明如、台北報導。
[162.36s -> 166.86s] 副總統蕭美琴去年3月出訪捷克的時候,
[166.86s -> 170.12s] 車隊被中國外交人員跟車,
[170.12s -> 173.36s] 差點釀成車禍。
[173.36s -> 176.36s] 而捷克媒體最新報導,
[176.36s -> 178.36s] 中方不只是監視,
[178.36s -> 180.36s] 蕭美琴訪問行程,
[180.36s -> 183.36s] 還規劃衝撞計畫。
[183.36s -> 189.36s] 福方表達強烈譴責。
[189.36s -> 193.36s] 副總統蕭美琴去年3月以副總統當選人身份,
[193.36s -> 195.36s] 接受捷克議長維德齊邀請,
[195.36s -> 198.36s] 到捷克研究中國的智庫發表演說,
[198.36s -> 201.36s] 只是她當時才下飛機要前往布拉格市區,
[201.36s -> 203.36s] 就差點出車禍,
[203.36s -> 205.36s] 駕駛竟然是中國外交官,
[205.36s -> 206.36s] 引發軒然大波。
[206.36s -> 207.36s] 根據捷克媒體最新報導,
[207.36s -> 210.36s] 捷克情報局調查結果出爐,
[210.36s -> 212.36s] 證實是中國武官所為。
[212.36s -> 216.36s] 我們要再度的對捷克方表達誠摯的感謝,
[216.36s -> 219.36s] 嚴密專業的保護了副總統的安全。
[219.36s -> 224.36s] 對於中國這一次這種違背了國際的規則,
[224.36s -> 227.36s] 特別是他們的行為為國際社會帶來麻煩,
[227.36s -> 228.36s] 也製造了風險,
[228.36s -> 230.36s] 像這樣的不法行為,
[230.36s -> 232.36s] 我方表達強烈的譴責。
[232.36s -> 234.36s] 總統府譴責中國行徑,
[234.36s -> 236.36s] 根據捷克軍事情報局調查,
[236.36s -> 239.36s] 這場行動由中國大使館軍事處策劃執行,
[239.36s -> 242.36s] 蕭美琴抵達機場就展開監視,
[242.36s -> 244.36s] 過程中甚至脫序闖紅燈,
[244.36s -> 246.36s] 差點在入口發生車禍,
[246.36s -> 248.36s] 還好捷克警方當下立即反應,
[248.36s -> 249.36s] 事後發現這名跟蹤者,
[249.36s -> 252.36s] 就是中國駐布拉格的軍事外交官。
[252.36s -> 254.36s] 就在這一個時節大家就可以知道,
[254.36s -> 256.36s] 其實中國的手是伸得非常的深,
[256.36s -> 257.36s] 不是只有在台灣而已,
[257.36s -> 259.36s] 即使在境外,
[259.36s -> 261.36s] 照樣也會可能會有跟蹤,
[261.36s -> 263.36s] 甚至是襲擊這樣的一個狀況。
[263.36s -> 265.36s] 這類針對台灣官員的行動,
[265.36s -> 267.36s] 過去在歐洲較為罕見,
[267.36s -> 268.36s] 捷克情報局也透露,
[268.36s -> 270.36s] 中國對蕭美琴的監控,
[270.36s -> 271.36s] 包括人身監視,
[271.36s -> 272.36s] 實質威脅,
[272.36s -> 273.36s] 掌握行程資訊,
[273.36s -> 276.36s] 並試圖記錄她與捷克重要人物的會面。
[276.36s -> 278.36s] 捷克參議院議長韋德齊批評,
[278.36s -> 280.36s] 這是不當的行為,
[280.36s -> 283.36s] 捷克外交部曾召見中國大使表達關切,
[283.36s -> 285.36s] 但沒有驅逐使館人員。
[285.36s -> 286.36s] 公視新聞這位人,
[286.36s -> 287.36s] 中間剛正和報導。
[295.36s -> 297.36s] 中共24號公告,
[297.36s -> 301.36s] 基隆市協和電廠更新改進計劃,
[301.36s -> 303.36s] 環評通過。
[303.36s -> 307.36s] 並且韓文同意台電動工,
[307.36s -> 310.36s] 引發環保團體強烈的不滿,
[310.36s -> 316.36s] 準備要提出溯源進行救濟。
[316.36s -> 318.36s] 聯合報士提到了,
[318.36s -> 320.36s] 美元指數重貶,
[320.36s -> 324.36s] 亞洲主要貨幣昨天全面走升,
[324.36s -> 327.36s] 台幣昨天收在29.165,
[327.36s -> 330.36s] 漲幅2.26角,
[330.36s -> 335.36s] 是半個多月來的單日最大升幅。
[335.36s -> 337.36s] 自由時報報導,
[337.36s -> 339.36s] 台北市一名高中生,
[339.36s -> 343.36s] 自學破解悠遊卡晶片的技術,
[343.36s -> 348.36s] 利用安全漏洞來進行補本儲值,
[348.36s -> 352.36s] 再拿著卡片去刷退現金。
[352.36s -> 353.36s] 半年多來,
[353.36s -> 355.36s] 榨取60多萬元,
[355.36s -> 359.36s] 全案已經涵送地檢署偵辦。
[359.36s -> 361.36s] 潘文報主重點,
[361.36s -> 362.36s] 繼續來關心,
[362.36s -> 366.36s] 總統府全社會防衛任性委員會,
[366.36s -> 370.36s] 定謀7月為國家團結月,
[370.36s -> 375.36s] 聚焦漢光與城鎮防空演習。
[375.36s -> 377.36s] 而另外,
[377.36s -> 381.36s] 也發布了新版的防空避難指引。
[381.36s -> 384.36s] 重點放在空襲警報響起時,
[384.36s -> 388.36s] 民眾該如何就地自保。
[394.36s -> 397.36s] 總統府全社會防衛任性委員會第四次會議,
[397.36s -> 399.36s] 定謀7月為國家團結月,
[399.36s -> 402.36s] 因為漢光41號演習將登場外,
[402.36s -> 405.36s] 也要搭配舉行城鎮任性防空演習。
[405.36s -> 406.36s] 中部南部和北部,
[406.36s -> 409.36s] 依序在7月15、16、17號的下午1點半到3點,
[409.36s -> 410.36s] 東部及萬里島,
[410.36s -> 413.36s] 則是18號的早上10點到10點半。
[413.36s -> 418.36s] 將選定關鍵基礎設施進行實作,
[418.36s -> 422.36s] 並在周邊行政區域開設配售站,
[422.36s -> 423.36s] 急救站,
[423.36s -> 425.36s] 以及救濟站。
[425.36s -> 426.36s] 同時,
[426.36s -> 428.36s] 全國22個縣市,
[428.36s -> 432.36s] 也將同步進行防空避難與民防演練,
[432.36s -> 435.36s] 全年也會有門市加入。
[435.36s -> 436.36s] 居民協力合作,
[436.36s -> 439.36s] 也首度新增在大型賣場百貨進行避難演練,
[439.36s -> 442.36s] 成為各界矚目焦點,
[442.36s -> 445.36s] 讓民眾直接參與貼近生活情境的演習,
[445.36s -> 447.36s] 提升自我保衛意識。
[447.36s -> 450.36s] 完全配合中央政府一起合作,
[450.36s -> 453.36s] 我們也希望民眾要遵守相關的平安法規定。
[453.36s -> 455.36s] 而內政部日前公布,
[455.36s -> 458.36s] 將稽查可容納500人以上的防空避難式設施,
[458.36s -> 460.36s] 台北市長蔣萬表示,
[460.36s -> 462.36s] 已配合修改相關公安申報表單,
[462.36s -> 464.36s] 確保符合規定。
[464.36s -> 465.36s] 另外,
[465.36s -> 467.36s] 內政部也將發布新版的防空避難指引,
[467.36s -> 468.36s] 內容借鑒烏克蘭,
[468.36s -> 470.36s] 與以色列經驗,
[470.36s -> 472.36s] 重點放在空襲警報響起時,
[472.36s -> 474.36s] 無法及時進入避難所的民眾,
[474.36s -> 476.36s] 該如何就地自保,
[476.36s -> 478.36s] 建議避開門窗與外牆,
[478.36s -> 481.36s] 躲在據報炸源至少兩道牆後方,
[481.36s -> 482.36s] 並保持趴下,
[482.36s -> 483.36s] 嘴巴偽裝,
[483.36s -> 485.36s] 減少衝擊傷害。
[485.36s -> 487.36s] 預計在六月底的時候發布,
[487.36s -> 488.36s] 它的基本原則是一,
[488.36s -> 491.36s] 避難位置是地下優於地上,
[491.36s -> 492.36s] 室內優於室外,
[492.36s -> 494.36s] 避開門窗與外牆,
[494.36s -> 495.36s] 遠離易碎物品。
[495.36s -> 497.36s] 現在都是精準導引,
[497.36s -> 498.36s] 恐怕是,
[498.36s -> 499.36s] 很難有一個,
[499.36s -> 502.36s] 比較大的緩衝時間去預防,
[502.36s -> 503.36s] 這個指引我覺得,
[503.36s -> 506.36s] 它就參考這兩次戰爭的實際的案例,
[506.36s -> 507.36s] 我覺得是,
[507.36s -> 509.36s] 很有啟發性的這個意義。
[509.36s -> 510.36s] 學者指出,
[510.36s -> 511.36s] 烏俄戰爭與以哈衝突中,
[511.36s -> 512.36s] 都可以看到,
[512.36s -> 514.36s] 飛彈精準打擊的趨勢,
[514.36s -> 516.36s] 也大幅壓縮預警時間,
[516.36s -> 517.36s] 因此讓民眾具備,
[517.36s -> 518.36s] 在任何場景,
[518.36s -> 521.36s] 快速找到適合場所避難的知識,
[521.36s -> 523.36s] 變得更加重要。
[523.36s -> 525.36s] 公視新聞一批生成常委,
[525.36s -> 526.36s] 謝振齡,
[526.36s -> 527.36s] 台北報導。
[528.36s -> 532.36s] 台北設計獎是設計界的年度盛事,
[532.36s -> 534.36s] 不過近期,
[534.36s -> 537.36s] 有民眾收到了簡體中文版本的文宣,
[537.36s -> 539.36s] 引發討論。
[539.36s -> 542.36s] 台北市產發局表示,
[542.36s -> 546.36s] 這是執行廠商的重大疏失,
[546.36s -> 550.36s] 已經要求重新寄送正確的文宣,
[550.36s -> 552.36s] 以及道歉信函,
[552.36s -> 557.36s] 後續會依照合約來進行懲處。
[557.36s -> 563.36s] 由台北市政府產發局主辦的台北設計獎,
[563.36s -> 565.36s] 是設計界的年度盛事。
[565.36s -> 566.36s] 2024年,
[566.36s -> 568.36s] 由蕭麗仁建築師事務所設計的
[568.36s -> 572.36s] 廣慈博愛園區A加B區永奪全場大獎,
[572.36s -> 576.36s] 2025台北設計獎將於7月底報名截止,
[576.36s -> 578.36s] 不過卻有民眾指出,
[578.36s -> 581.36s] 收到的徵件信上面寫的是簡體中文,
[581.36s -> 582.36s] 引發熱議。
[582.36s -> 583.36s] 感覺有點奇怪吧,
[583.36s -> 585.36s] 因為台灣不是繁體字嗎?
[585.36s -> 586.36s] 通常都是繁體字比較多,
[586.36s -> 592.36s] 可能還是要有人先審過這些字再來發吧。
[592.36s -> 593.36s] 產發局說明,
[593.36s -> 596.36s] 台北設計獎歷年有60多個國家報名,
[596.36s -> 598.36s] 推出6種語言版本,
[598.36s -> 601.36s] 不讓委外執行團隊寄送徵件資訊時,
[601.36s -> 603.36s] 語言版本設定錯誤,
[603.36s -> 606.36s] 第一時間已經要求執行團隊發出道歉聲明,
[606.36s -> 608.36s] 後續會依約懲處。
[608.36s -> 613.36s] 產業局第一時間也要求我們的執行團隊發出道歉的聲明,
[613.36s -> 615.36s] 同時與更正相關正確的招募,
[615.36s -> 621.36s] 資訊給予所有可能可以來參加的這樣的潛在的團隊,
[621.36s -> 625.36s] 後續我們也會依照合約來對廠商進行相關的懲處。
[625.36s -> 628.36s] 不過委外廠商出包已經不是第一次,
[628.36s -> 632.36s] 日前落幕的市中運也發生過海報英文拼湊等狀況,
[632.36s -> 637.36s] 明代建議市府應建立更多的檢核或監察機制。
[637.36s -> 641.36s] 我想這已經不是第一次台北市政府委外廠商出包了,
[641.36s -> 643.36s] 包含今天市中運也是很多,
[643.36s -> 645.36s] 主動委外廠商的一些缺失的問題,
[645.36s -> 651.36s] 台北市政府應該要去建立起一個更多的一個檢核或監察的機制。
[651.36s -> 656.36s] 近日呢其實一再的爆出在台北市有很多檢體字這樣的狀況,
[656.36s -> 659.36s] 台北市政府必須在所有的這一些,
[659.36s -> 661.36s] 不管是標案也好,
[661.36s -> 663.36s] 或者是硬體設施也好,
[663.36s -> 665.36s] 真的螺絲應該要再拴緊一點。
[665.36s -> 668.36s] 過去也曾發生過多起檢體字風波,
[668.36s -> 671.36s] 包括大稻埕碼頭河畔被民眾發現,
[671.36s -> 672.36s] 周邊警示,
[672.36s -> 674.36s] 警務跨越是用檢體字,
[674.36s -> 680.36s] 台北市交通局停管處的違規停車進行舉發標示單也被發現印有檢體字,
[680.36s -> 684.36s] 以及台北市廣慈社宅門禁卡背面注意事項內容,
[684.36s -> 687.36s] 是用檢體字書寫等爭議事件。
[687.36s -> 688.36s] 公視新聞黃沛寒,
[688.36s -> 689.36s] 陳柏鈺,
[689.36s -> 691.36s] 台北報導。
[691.36s -> 693.36s] 去年7月,
[693.36s -> 697.36s] 新北三重一名28歲的黃姓袁警,
[697.36s -> 700.36s] 凌晨搭警車巡邏的時候,
[700.36s -> 704.36s] 被逆向獨駕的男子黃國維衝撞殉職,
[704.36s -> 708.36s] 而昨天新北地方法院一審宣判,
[708.36s -> 714.36s] 國民法官判處黃國維18年6個月的重刑,
[714.36s -> 717.36s] 全案還可以上訴。
[717.36s -> 721.36s] 而對於被告在法庭上毫無悔意,
[721.36s -> 724.36s] 家屬是感到相當痛心。
[724.36s -> 727.36s] 去年7月,
[727.36s -> 729.36s] 全國發生第一起執勤巡路員警,
[729.36s -> 733.36s] 遭到逆向獨駕男子黃國維衝撞的殉職事件,
[733.36s -> 736.36s] 事後新北地檢依公眾往來安全致人於此等罪嫌,
[736.36s -> 738.36s] 起訴黃國維。
[738.36s -> 739.36s] 這個月26號,
[739.36s -> 741.36s] 新北地方法院進行一審宣判,
[741.36s -> 745.36s] 判處獨駕的黃國維18年6個月徒刑可上訴。
[745.36s -> 747.36s] 有比我們想像的高,
[747.36s -> 749.36s] 那其實也蠻謝謝國民法官,
[749.36s -> 750.36s] 反映了全國的法感情。
[750.36s -> 752.36s] 整體來說最不能接受的就是,
[752.36s -> 754.36s] 對於這件事情的不在乎,
[754.36s -> 756.36s] 對於交通法規的漠視,
[756.36s -> 758.36s] 還有整個過程理所當然的感覺。
[758.36s -> 761.36s] 那這我相信對家屬是蠻相同的。
[761.36s -> 762.36s] 讓原警家屬痛心的是,
[762.36s -> 764.36s] 黃姓原警殉職時,
[764.36s -> 765.36s] 年僅28歲,
[765.36s -> 767.36s] 婚後育有一名兒子,
[767.36s -> 769.36s] 是家中的經濟支柱,
[769.36s -> 770.36s] 卻碰上獨駕殉職。
[770.36s -> 772.36s] 過去新北市只在網路公布,
[772.36s -> 775.36s] 有關酒駕、獨駕和據測壘犯,
[775.36s -> 777.36s] 現在新北市交通裁決處,
[777.36s -> 780.36s] 首度將這些壘犯姓名、頭像及違規地點,
[780.36s -> 783.36s] 公布在各區公所、警察局、各分局等公布欄,
[783.36s -> 785.36s] 希望達到警示、教育效果。
[785.36s -> 788.36s] 而這次公布酒駕和據測壘犯名單,
[788.36s -> 789.36s] 共計31人,
[789.36s -> 791.36s] 光是酒駕和獨駕,
[791.36s -> 793.36s] 第二次者就有26人。
[813.36s -> 815.36s] 新北市交通事件裁決處表明,
[815.36s -> 818.36s] 新北公告以涉及新北市的民眾為主,
[818.36s -> 821.36s] 如果是外縣市民眾在新北違規,
[821.36s -> 824.36s] 將發函給戶籍地的縣市政府處理,
[824.36s -> 826.36s] 但將違規名單公布在公布欄,
[826.36s -> 829.36s] 是否能達到警惕降低酒駕、獨駕發生率,
[829.36s -> 830.36s] 還有待觀察。
[830.36s -> 834.36s] 公視新聞 郭俊麟 報導。
[834.36s -> 837.36s] 台中第二條捷運路線,
[837.36s -> 839.36s] 終結嵐線,
[839.36s -> 841.36s] 昨天正式動工,
[841.36s -> 845.36s] 全長有24.78公里,
[845.36s -> 848.36s] 西起台中港,
[848.36s -> 851.36s] 東到東區建國市場,
[851.36s -> 854.36s] 共設置了20座車站,
[854.36s -> 857.36s] 預計2034年完工。
[857.36s -> 859.36s] 列車到站,
[859.36s -> 861.36s] 民眾魚貫上下車,
[861.36s -> 863.36s] 台中捷運嵐線26號正式開工,
[863.36s -> 866.36s] 捷運公司宣布這天綠線免費搭乘,
[866.36s -> 868.36s] 民眾多半不知情,
[868.36s -> 871.36s] 但對於台中捷運路網擴增都有期待。
[871.36s -> 873.36s] 我覺得很好,
