=== Time stamp ===
[0.00s -> 13.90s] 看新聞,開視野。
[14.36s -> 18.24s] 歡迎收看今天8月7號的公視手語新聞。
[19.16s -> 22.52s] 首先來關心,之前我們為您報導過,
[23.06s -> 27.26s] 傳出基欠聽打員費用的台北海洋科技大學,
[27.26s -> 32.86s] 特教中心主任,5月時被家長檢舉,
[33.80s -> 37.72s] 他要求孩子把台積電提供的公讀費回捐,
[38.68s -> 42.26s] 孩子不配合,就被該名主任霸凌。
[43.84s -> 49.18s] 家長還指控,這些回捐的錢,款項用途不明。
[51.16s -> 56.18s] 而校方表示,在5月下旬受理案件之後,
[56.18s -> 59.62s] 就將老師調離了行政職。
[61.02s -> 65.82s] 已經委請三位校外委員來進入調查。
[69.28s -> 72.94s] 台積電近年對各大學提供校園服務代表計畫,
[73.24s -> 75.28s] 只要在學生領有身障手冊,
[75.62s -> 79.18s] 向資源或特教老師報名上台積電官網,
[79.50s -> 81.98s] 經審核就有機會擔任校園代表,
[82.28s -> 84.16s] 月薪比照最低基本工資。
[84.16s -> 85.72s] 台北海洋科技大學,
[86.18s -> 89.76s] 第十三學年,有27名特教生獲公讀機會。
[90.16s -> 92.72s] 其中一位家長5月10日向校方投訴,
[93.08s -> 95.74s] 特教中心主任要求回捐公讀金。
[110.18s -> 114.44s] 家長說,這是孩子用勞力換來的公讀金拒絕回捐,
[114.76s -> 116.16s] 而其他學生回捐款項,
[116.18s -> 117.50s] 本項也是用途不明。
[117.78s -> 122.56s] 但接著孩子就遭主任辱罵揚言封殺公讀或實習機會。
[135.36s -> 137.68s] 校方表示,5月22受理本案,
[137.76s -> 139.84s] 5月28將主任調離行政職。
[140.30s -> 143.46s] 委請的三位校外委員在6月下旬開始調查,
[143.46s -> 146.16s] 按程序調查結果8月下旬出爐,
[146.18s -> 149.56s] 必要時可延長一個月,最多延長兩次。
[149.56s -> 153.36s] 將就調查結果適時依相關規定並供處理。
[161.36s -> 163.56s] 教育部指出,7月底接獲家長陳情,
[163.56s -> 166.06s] 預計8日週五到校實地訪視,
[166.06s -> 168.06s] 督導學校依規定查處,
[168.06s -> 171.94s] 瞭解提供相關學生必要的個別支持措施及輔導,
[171.94s -> 173.94s] 確保特教學生權益。
[173.94s -> 175.90s] 公視新聞林曉慧,沈志明,台北北部。
[175.90s -> 176.02s] 公視新聞林曉慧,沈志明,台北北部。
[176.02s -> 176.16s] 公視新聞林曉慧,沈志明,台北北部。
[176.18s -> 178.18s] 獨報學間來看到,
[178.18s -> 180.18s] 獨報學間來看到,
[180.18s -> 182.18s] 中國時報是,
[182.18s -> 184.18s] 交通部公佈1到5月交通事故統計,
[184.18s -> 186.18s] 交通部公佈1到5月交通事故統計,
[186.18s -> 188.18s] 交通部公佈1到5月交通事故統計,
[188.18s -> 190.18s] 高齡者死亡507人,
[190.18s -> 192.18s] 高齡者死亡507人,
[192.18s -> 194.18s] 和去年同期相比,增加了25人。
[194.18s -> 196.18s] 和去年同期相比,增加了25人。
[196.18s -> 198.18s] 如何減少高齡者交通事故?
[198.18s -> 200.18s] 如何減少高齡者交通事故?
[200.18s -> 202.18s] 交通部8月底前將提出詳細規劃。
[202.18s -> 204.18s] 交通部8月底前將提出詳細規劃。
[204.18s -> 206.18s] 交通部8月底前將提出詳細規劃。
[206.18s -> 208.18s] 自由時報時報導,
[208.18s -> 210.18s] 自由時報時報導,
[210.18s -> 212.18s] 國內接連發生家暴命案。
[212.18s -> 214.18s] 國內接連發生家暴命案。
[214.18s -> 216.18s] 屢屢傳出,被害人已經申請了保護令,
[216.18s -> 218.18s] 屢屢傳出,被害人已經申請了保護令,
[218.18s -> 220.18s] 但是難擋家害人的暴力而遇害。
[220.18s -> 222.18s] 但是難擋家害人的暴力而遇害。
[222.18s -> 224.18s] 衛福部長邱太元表示,
[224.18s -> 226.18s] 支持對家害者納入電子監控,
[226.18s -> 228.18s] 支持對家害者納入電子監控,
[228.18s -> 230.18s] 會在一個月內召開跨部門會議。
[230.18s -> 232.18s] 會在一個月內召開跨部門會議。
[232.18s -> 234.18s] 會在一個月內召開跨部門會議。
[234.18s -> 236.18s] 力平半年內提出家暴法的修法草案。
[236.18s -> 238.18s] 力平半年內提出家暴法的修法草案。
[238.18s -> 240.18s] 力平半年內提出家暴法的修法草案。
[240.18s -> 242.18s] 力平半年內提出家暴法的修法草案。
[242.18s -> 244.18s] 再看到聯合報提到了。
[244.18s -> 246.18s] 英國媒體報導,
[246.18s -> 248.18s] 英國媒體報導,
[248.18s -> 250.18s] 美國宣布印度因為進口俄羅斯石油
[250.18s -> 252.18s] 美國宣布印度因為進口俄羅斯石油
[252.18s -> 254.18s] 將對印度、蘇美商品
[254.18s -> 256.18s] 加徵百分之二十五的關稅
[256.18s -> 258.18s] 加徵百分之二十五的關稅
[258.18s -> 260.18s] 來到百分之五十,
[260.18s -> 262.18s] 21天之後生效。
[262.18s -> 267.04s] 而此外,美国对等关税将在今天上路
[267.04s -> 271.28s] 台湾的暂时性关税是20%
[271.28s -> 277.52s] 行政院经贸谈判办公室副总谈判代表严慧欣
[277.52s -> 281.44s] 表示今天不会是台美的谈判截止日
[281.44s -> 285.94s] 原因是资通讯产品还没有谈妥
[288.26s -> 291.04s] 美国对等关税将在7号正式上路
[291.04s -> 293.38s] 台湾的暂时性关税为20%
[293.38s -> 295.84s] 国人关切有无调降空间
[295.84s -> 299.80s] 行政院经贸谈判办公室副总谈判代表严慧欣
[299.80s -> 302.94s] 表示7号不会是台美的谈判截止日
[302.94s -> 305.34s] 原因是资通讯产品还未谈妥
[305.34s -> 308.08s] 我方是联同232条款一起谈
[308.08s -> 311.20s] 争取希望可以在对等关税的谈判里面
[311.20s -> 313.18s] 一并的也可以去讨论我们后续
[313.18s -> 316.04s] 例如像半导体232调查
[316.04s -> 318.22s] 所以也就是这样的一个考量
[318.22s -> 321.02s] 我们在总结性会议上
[321.02s -> 322.58s] 上面持续的去争取
[322.58s -> 324.02s] 在支持方案里面
[324.02s -> 326.14s] 事实上都可以来做一些支持
[326.14s -> 328.70s] 那也开放所有的产业可以来做申请
[328.70s -> 329.60s] 严慧欣表示
[329.60s -> 333.14s] 台湾关税从32%降到20%
[333.14s -> 336.02s] 在美国贸易逆差国中仅次于欧盟
[336.02s -> 337.78s] 调降比率第二多
[337.78s -> 339.98s] 至于受关税冲击较大的产业
[339.98s -> 341.70s] 像是制造业的工具机
[341.70s -> 345.86s] 农鱼部分蝴蝶兰毛豆鲈鱼鬼头刀也受影响
[345.86s -> 348.86s] 对此身兼民进党主席的总统赖清德表示
[348.86s -> 351.02s] 行政院将依特别条例提出
[351.02s -> 351.82s] 特别预算
[351.82s -> 355.26s] 普发现金1万元是否有谱引发关注
[355.26s -> 367.58s] 赖总统强调台湾尽力争取关税降低
[367.58s -> 370.56s] 但谈判过程被再也质疑是黑箱作业
[370.56s -> 372.94s] 国民党主席朱立伦批评政府
[372.94s -> 374.38s] 让企业开盲盒
[374.38s -> 376.00s] 喊话要适度公开
[381.02s -> 384.40s] 还把我们的几代累积的本
[384.40s -> 386.44s] 我们的根都丢掉了
[386.44s -> 390.82s] 这是台湾无法承受的经济的最大的危机
[390.82s -> 392.06s] 我公开呼吁
[392.06s -> 395.22s] 左农泰自己下台
[395.22s -> 397.86s] 整个内阁解散重组
[397.86s -> 401.38s] 到目前为止左农泰选择躲起来
[401.38s -> 403.98s] 朱立伦认为政府应运用在野力量
[403.98s -> 405.40s] 当作谈判筹码
[405.40s -> 409.06s] 赖清德则喊话朝野支持通过特别预算协助
[409.06s -> 410.90s] 台湾产业公司新闻
[411.02s -> 411.74s] 字节出复材
[411.74s -> 413.40s] 谢震灵 谢奇文 台北报导
[413.40s -> 416.72s] 最新消息来看
[416.72s -> 419.70s] 美国总统川普稍早表示
[419.70s -> 422.42s] 美国的半导体关税
[422.42s -> 424.78s] 税率将近100%
[424.78s -> 428.46s] 不过只要企业承诺在美国设厂
[428.46s -> 430.50s] 就能够立即免税
[430.50s -> 434.56s] 因此台积电可以不用被课到这项税率
[434.56s -> 436.92s] 而详细的情形
[436.92s -> 440.42s] 我们连线给公示国际记者方子齐
