=== Time stamp ===
[0.00s -> 29.98s] 請不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[30.00s -> 37.56s] 明年中央分给地方的统筹分配税款将大幅增加四千一百六十五亿元
[37.56s -> 43.36s] 中央财政会出现极大的缺口将举债四千亿
[43.36s -> 50.00s] 此外总预算也没有纳入明年军工教条新百分之三
[55.34s -> 59.60s] 行政院会二十一日通过一百一十五年度中央政府总预算
[59.60s -> 61.52s] 因应新版财务法顺路
[61.52s -> 69.14s] 行政院长钟泰指出明年中央分给地方的统筹分配税款将大幅增加四千一百六十五亿元
[69.14s -> 74.84s] 比起今年多了百分之五十八也让中央财政出现缺口要举债应应
[74.84s -> 80.36s] 中央政府明年在中央政府总预算再加上特别预算
[80.36s -> 85.30s] 两项加起来举债刚好是四千亿元
[85.36s -> 89.30s] 明年度总预算税入冷周八千六百二十三亿元
[89.30s -> 119.30s] 最初三兆三百五十一元一百一十五年度总预算若单纯以正式别来看不加计各类特别预算及基金社会福利支出八千三百一十八亿元最高占百分之二十七点四教育科学文化支出五千五百六十六亿元居第二位占百分之十八点三国防支出编列五千四百八十八亿元占百分之十八点一位居第三经济发展支出四千老百七十五亿元第四不过明年军工教条新百分之五十七亿元最高占百分之二十七点四教育科学文化支出五千五百六十六亿元居第二位占百分之十八点三国
[119.30s -> 131.06s] 军工教条新百分之三并未纳入明年总预算军工教人员是否加薪的状况呢我们会在经过这个审议委员会之后之后再来评估调整目前的话是没有排入前来的总预算案
[131.06s -> 137.26s] 政院指出过去四年内已经三度调高军工教人员薪资涨幅为百分之十一点四
[137.26s -> 149.14s] 考量经济成长率消费者物价指数趋缓等因素明年总预算案未纳入军工教加薪针对军人待遇调整以及紧修退休条例部分也将提出实现
[149.30s -> 157.34s] 我们可以马上依事件的结果来进行必要的调整必要的时候也会追溯不回
[157.34s -> 166.10s] 既然要增加国防预算就应该要用在我们的基层军人身上不要让他们感到心寒
[166.10s -> 174.38s] 今年在追加预算中就已经名列国军待遇提升经费明年度也会持续增加
[174.38s -> 179.28s] 我们还是要思考公务人员公平性及是否有危险
[179.30s -> 185.54s] 正院正式将一百一十五年度中政府总预算施政方针一并送立法院
[185.54s -> 192.66s] 卓泰喊话送丑业党团能以过去审查预算共同经验与共识审查明年度总预算
[192.66s -> 195.90s] 想要在宪政体制下符合预算法精神
[195.90s -> 206.66s] 明年度中央政府总预算当中国防预算的金额创了史上新高
[207.50s -> 209.28s] 总计达到九千
[209.30s -> 211.16s] 四百九十五亿元
[211.16s -> 216.14s] 预计占GDP的百分之三点三二
[216.14s -> 219.08s] 行政院长卓荣泰强调
[219.08s -> 222.90s] 是因为这次参考了北约标准
[222.90s -> 228.40s] 也是向国际展现维护国家安全的决心
[228.40s -> 236.82s] 阿巴基直升机发射二点七五寸火箭弹爆炸声响彻山谷
